Entry	Entry name	Status	Gene names	EnsemblPlants transcript	Cross-reference (STRING)
A0A3Q7I7J4	A0A3Q7I7J4_SOLLC	unreviewed	101255137	Solyc09g090250.3.1;	
A0A3Q7FCZ1	A0A3Q7FCZ1_SOLLC	unreviewed	101260586	Solyc01g108200.3.1;	
A0A3Q7JJY8	A0A3Q7JJY8_SOLLC	unreviewed		Solyc11g013293.1.1;	
A0A3Q7J6G7	A0A3Q7J6G7_SOLLC	unreviewed		Solyc12g019480.2.1;	
A0A3Q7EPT0	A0A3Q7EPT0_SOLLC	unreviewed	543762	Solyc01g103390.3.1;	
A0A3Q7ER18	A0A3Q7ER18_SOLLC	unreviewed	101266461	Solyc01g105060.3.1;	
A0A3Q7JA12	A0A3Q7JA12_SOLLC	unreviewed		Solyc12g044680.1.1;	
A0A3Q7FNX1	A0A3Q7FNX1_SOLLC	unreviewed		Solyc03g098430.3.1;	
A0A3Q7FG33	A0A3Q7FG33_SOLLC	unreviewed	101256653	Solyc03g007410.3.1;	
A0A3Q7G4N4	A0A3Q7G4N4_SOLLC	unreviewed	101247906	Solyc04g054200.3.1;	
A0A3Q7JKI3	A0A3Q7JKI3_SOLLC	unreviewed		Solyc11g019970.2.1;	
A0A3Q7JD10	A0A3Q7JD10_SOLLC	unreviewed	101244941	Solyc12g096930.2.1;	
A0A3Q7G564	A0A3Q7G564_SOLLC	unreviewed		Solyc04g053023.1.1;	
A0A3Q7IQP8	A0A3Q7IQP8_SOLLC	unreviewed		Solyc11g008550.2.1;	
A0A3Q7HWI4	A0A3Q7HWI4_SOLLC	unreviewed		Solyc08g081840.3.1;	
A0A3Q7GR57	A0A3Q7GR57_SOLLC	unreviewed	101248684	Solyc06g048610.3.1;	
A0A3Q7HT62	A0A3Q7HT62_SOLLC	unreviewed		Solyc08g080050.3.1;	
A0A3Q7EMV1	A0A3Q7EMV1_SOLLC	unreviewed		Solyc01g098260.1.1;	
A0A3Q7HVY8	A0A3Q7HVY8_SOLLC	unreviewed	101260846	Solyc08g080910.3.1;	
A0A3Q7IBD4	A0A3Q7IBD4_SOLLC	unreviewed	101251823	Solyc10g006660.3.1;	
A0A3Q7J4N6	A0A3Q7J4N6_SOLLC	unreviewed		Solyc12g014350.2.1;	
A0A3Q7FAE7	A0A3Q7FAE7_SOLLC	unreviewed	104645999	Solyc02g091250.1.1;	
A0A3Q7FRD5	A0A3Q7FRD5_SOLLC	unreviewed		Solyc03g114400.3.1;	
A0A3Q7G576	A0A3Q7G576_SOLLC	unreviewed		Solyc04g051230.2.1;	
A0A3Q7FWS3	A0A3Q7FWS3_SOLLC	unreviewed	101255487	Solyc04g005230.3.1;	
A0A3Q7ITF9	A0A3Q7ITF9_SOLLC	unreviewed		Solyc11g018740.2.1;	
A0A3Q7EHH6	A0A3Q7EHH6_SOLLC	unreviewed		Solyc01g080300.3.1;	
A0A3Q7FD29	A0A3Q7FD29_SOLLC	unreviewed		Solyc03g006170.3.1;	
A0A3Q7I1H6	A0A3Q7I1H6_SOLLC	unreviewed		Solyc09g015495.1.1;	
A0A3Q7ESD1	A0A3Q7ESD1_SOLLC	unreviewed	101262668	Solyc01g108030.3.1;	
A0A3Q7HFW6	A0A3Q7HFW6_SOLLC	unreviewed		Solyc05g052570.3.1;	
A0A3Q7G8L3	A0A3Q7G8L3_SOLLC	unreviewed		Solyc03g071503.1.1;	
A0A3Q7H6H9	A0A3Q7H6H9_SOLLC	unreviewed		Solyc07g021497.1.1;	
A0A3Q7HXT3	A0A3Q7HXT3_SOLLC	unreviewed		Solyc09g010993.1.1;	
A0A3Q7JYR3	A0A3Q7JYR3_SOLLC	unreviewed	101256574	Solyc12g098610.2.1;	
A0A3Q7G9K5	A0A3Q7G9K5_SOLLC	unreviewed	101244367	Solyc04g079740.3.1;	
A0A3Q7HEG2	A0A3Q7HEG2_SOLLC	unreviewed		Solyc05g050040.2.1;	
A0A3Q7I298	A0A3Q7I298_SOLLC	unreviewed		Solyc09g057940.2.1;	
A0A3Q7FDF9	A0A3Q7FDF9_SOLLC	unreviewed	101266098	Solyc03g006810.3.1;	
A0A3Q7EC65	A0A3Q7EC65_SOLLC	unreviewed		Solyc01g015020.3.1;	
A0A3Q7F7M1	A0A3Q7F7M1_SOLLC	unreviewed		Solyc02g081420.3.1;	
A0A3Q7IZP9	A0A3Q7IZP9_SOLLC	unreviewed		Solyc11g066560.2.1;	
A0A3Q7H9F9	A0A3Q7H9F9_SOLLC	unreviewed		Solyc07g042597.1.1;	
A0A3Q7F7L6	A0A3Q7F7L6_SOLLC	unreviewed		Solyc02g081390.3.1;	
A0A3Q7JC10	A0A3Q7JC10_SOLLC	unreviewed		Solyc12g070156.1.1;	
A0A3Q7HRY2	A0A3Q7HRY2_SOLLC	unreviewed		Solyc08g077980.3.1;	
A0A3Q7FJW9	A0A3Q7FJW9_SOLLC	unreviewed		Solyc03g080100.3.1;	
A0A3Q7EX82	A0A3Q7EX82_SOLLC	unreviewed		Solyc02g033050.2.1;	
A0A3Q7GNB5	A0A3Q7GNB5_SOLLC	unreviewed		Solyc05g053570.3.1;	
A0A3Q7I014	A0A3Q7I014_SOLLC	unreviewed		Solyc09g011103.1.1;	
A0A3Q7IMC9	A0A3Q7IMC9_SOLLC	unreviewed		Solyc10g084340.2.1;	
A0A3Q7I7K3	A0A3Q7I7K3_SOLLC	unreviewed		Solyc09g090300.3.1;	
A0A3Q7GFE1	A0A3Q7GFE1_SOLLC	unreviewed		Solyc05g014090.2.1;	
A0A3Q7GRC3	A0A3Q7GRC3_SOLLC	unreviewed		Solyc06g005340.3.1;	
A0A3Q7H2E7	A0A3Q7H2E7_SOLLC	unreviewed		Solyc07g004993.1.1;	
A0A3Q7F2G2	A0A3Q7F2G2_SOLLC	unreviewed		Solyc02g070560.3.1;	
A0A3Q7GYA3	A0A3Q7GYA3_SOLLC	unreviewed		Solyc04g063245.1.1;	
A0A3Q7IEA0	A0A3Q7IEA0_SOLLC	unreviewed	101256726	Solyc10g045100.2.1;	
A0A3Q7HKA2	A0A3Q7HKA2_SOLLC	unreviewed		Solyc08g007295.1.1;	
A0A3Q7IE76	A0A3Q7IE76_SOLLC	unreviewed	101246944	Solyc08g006660.1.1;	
A0A3Q7GHQ6	A0A3Q7GHQ6_SOLLC	unreviewed		Solyc05g014150.3.1;	
A0A3Q7F3X5	A0A3Q7F3X5_SOLLC	unreviewed		Solyc02g078290.3.1;	
A0A3Q7ELH0	A0A3Q7ELH0_SOLLC	unreviewed		Solyc01g095907.1.1;	
A0A3Q7H627	A0A3Q7H627_SOLLC	unreviewed		Solyc05g007820.3.1;	
A0A3Q7HNG3	A0A3Q7HNG3_SOLLC	unreviewed	101245867	Solyc08g066190.2.1;	
A0A3Q7IV08	A0A3Q7IV08_SOLLC	unreviewed		Solyc11g039590.2.1;	
A0A3Q7EVN2	A0A3Q7EVN2_SOLLC	unreviewed		Solyc01g110925.1.1;	
A0A3Q7GZC8	A0A3Q7GZC8_SOLLC	unreviewed		Solyc04g071920.2.1;	
A0A3Q7EG54	A0A3Q7EG54_SOLLC	unreviewed		Solyc01g067145.1.1;	
A0A3Q7F9L4	A0A3Q7F9L4_SOLLC	unreviewed		Solyc02g089600.3.1;	
A0A3Q7G1Z5	A0A3Q7G1Z5_SOLLC	unreviewed	101250792	Solyc04g015940.3.1;	
A0A3Q7GNU1	A0A3Q7GNU1_SOLLC	unreviewed		Solyc04g007720.3.1;	
A0A3Q7GPT2	A0A3Q7GPT2_SOLLC	unreviewed		Solyc06g008660.3.1;	
A0A3Q7GHA3	A0A3Q7GHA3_SOLLC	unreviewed		Solyc05g045665.1.1;	
A0A3Q7HYX4	A0A3Q7HYX4_SOLLC	unreviewed	101249118	Solyc09g008800.3.1;	
A0A3Q7I7Z4	A0A3Q7I7Z4_SOLLC	unreviewed		Solyc07g052110.3.1;	
A0A3Q7IFU6	A0A3Q7IFU6_SOLLC	unreviewed		Solyc10g047200.1.1;	
A0A3Q7JAH7	A0A3Q7JAH7_SOLLC	unreviewed		Solyc12g049483.1.1;	
A0A3Q7I3A0	A0A3Q7I3A0_SOLLC	unreviewed		Solyc09g055345.1.1;	
A0A3Q7FY98	A0A3Q7FY98_SOLLC	unreviewed		Solyc04g008800.3.1;	
A0A3Q7FFH4	A0A3Q7FFH4_SOLLC	unreviewed		Solyc03g031970.3.1;	
A0A3Q7IM37	A0A3Q7IM37_SOLLC	unreviewed		Solyc08g075353.1.1;	
A0A3Q7ES61	A0A3Q7ES61_SOLLC	unreviewed		Solyc01g107260.3.1;	
A0A3Q7JXE0	A0A3Q7JXE0_SOLLC	unreviewed		Solyc12g062690.2.1;	
A0A3Q7HBR8	A0A3Q7HBR8_SOLLC	unreviewed		Solyc07g041330.2.1;	
A0A3Q7HSM7	A0A3Q7HSM7_SOLLC	unreviewed	544010	Solyc08g078070.3.1;	
A0A3Q7FJ20	A0A3Q7FJ20_SOLLC	unreviewed		Solyc02g061680.2.1;	
A0A3Q7J7A1	A0A3Q7J7A1_SOLLC	unreviewed		Solyc12g035195.1.1;	
A0A3Q7FNJ0	A0A3Q7FNJ0_SOLLC	unreviewed		Solyc03g093120.3.1;	
A0A3Q7EA93	A0A3Q7EA93_SOLLC	unreviewed		Solyc01g010830.3.1;	
A0A3Q7FIP4	A0A3Q7FIP4_SOLLC	unreviewed		Solyc02g044040.2.1;	
A0A3Q7IPY4	A0A3Q7IPY4_SOLLC	unreviewed	101244729	Solyc11g007070.2.1;	
A0A3Q7HPG2	A0A3Q7HPG2_SOLLC	unreviewed		Solyc08g061063.1.1;	
A0A3Q7HZ03	A0A3Q7HZ03_SOLLC	unreviewed		Solyc09g015457.1.1;	
A0A3Q7GH76	A0A3Q7GH76_SOLLC	unreviewed	101266012	Solyc03g116140.3.1;	
A0A3Q7GZP9	A0A3Q7GZP9_SOLLC	unreviewed		Solyc04g072480.3.1;	
A0A3Q7FLC9	A0A3Q7FLC9_SOLLC	unreviewed		Solyc03g063765.1.1;	
A0A3Q7GY69	A0A3Q7GY69_SOLLC	unreviewed	101265651	Solyc06g063000.3.1;	
A0A3Q7FWU6	A0A3Q7FWU6_SOLLC	unreviewed	101268860	Solyc04g005380.3.1;	
Q38MS0	Q38MS0_SOLLC	unreviewed	I2		
A0A3Q7HQ62	A0A3Q7HQ62_SOLLC	unreviewed		Solyc08g063000.3.1;	
A0A3Q7HD85	A0A3Q7HD85_SOLLC	unreviewed		Solyc07g055145.1.1;	
A0A3Q7I2P3	A0A3Q7I2P3_SOLLC	unreviewed		Solyc09g061540.1.1;	
A0A3Q7G7J2	A0A3Q7G7J2_SOLLC	unreviewed		Solyc04g071410.2.1;	
A0A3Q7G916	A0A3Q7G916_SOLLC	unreviewed		Solyc04g076360.3.1;	
A0A3Q7HKL2	A0A3Q7HKL2_SOLLC	unreviewed	101263043	Solyc08g007320.3.1;	
A0A3Q7EJD8	A0A3Q7EJD8_SOLLC	unreviewed		Solyc01g088323.1.1;	
A0A494G9K4	A0A494G9K4_SOLLC	unreviewed		Solyc00g074210.2.1;	
A0A3Q7HQ79	A0A3Q7HQ79_SOLLC	unreviewed		Solyc06g059970.3.1;	
A0A3Q7HD55	A0A3Q7HD55_SOLLC	unreviewed		Solyc05g041710.2.1;	
Q9SWJ2	Q9SWJ2_SOLLC	unreviewed	CYP1A1		
A0A3Q7HXR9	A0A3Q7HXR9_SOLLC	unreviewed		Solyc06g082200.3.1;	
A0A3Q7HLN1	A0A3Q7HLN1_SOLLC	unreviewed		Solyc08g014140.1.1;	
A0A3Q7G8Z1	A0A3Q7G8Z1_SOLLC	unreviewed		Solyc04g076240.2.1;	
A0A097PNA8	A0A097PNA8_SOLLC	unreviewed			
A0A3Q7GW03	A0A3Q7GW03_SOLLC	unreviewed		Solyc06g051990.3.1;	
A0A3Q7GPF2	A0A3Q7GPF2_SOLLC	unreviewed		Solyc05g053410.3.1;	
A0A3Q7IYK9	A0A3Q7IYK9_SOLLC	unreviewed		Solyc09g059380.1.1;	
A0A3Q7FEG1	A0A3Q7FEG1_SOLLC	unreviewed		Solyc02g094380.2.1;	
A0A3Q7ET13	A0A3Q7ET13_SOLLC	unreviewed	101262966	Solyc01g109340.3.1;	
A0A3Q7FC70	A0A3Q7FC70_SOLLC	unreviewed	101262587	Solyc02g094110.1.1;	
A0A3Q7EV76	A0A3Q7EV76_SOLLC	unreviewed		Solyc02g005555.1.1;	
A0A3Q7ESW2	A0A3Q7ESW2_SOLLC	unreviewed	101248151	Solyc01g106150.1.1;	
A0A3Q7H4K6	A0A3Q7H4K6_SOLLC	unreviewed		Solyc07g007725.1.1;	
A0A3Q7GG72	A0A3Q7GG72_SOLLC	unreviewed	101268279	Solyc05g015350.3.1;	
A0A3Q7HZ96	A0A3Q7HZ96_SOLLC	unreviewed		Solyc09g018010.3.1;	
A0A3Q7IDY0	A0A3Q7IDY0_SOLLC	unreviewed		Solyc08g006130.2.1;	
G4XMX2	G4XMX2_SOLLC	unreviewed	CIPK6		
A0A3Q7HF92	A0A3Q7HF92_SOLLC	unreviewed	101249381	Solyc07g053740.1.1;	
A0A3Q7IC91	A0A3Q7IC91_SOLLC	unreviewed	104649465	Solyc10g008320.1.1;	
A0A3Q7H5W6	A0A3Q7H5W6_SOLLC	unreviewed		Solyc07g017300.1.1;	
A0A3Q7GVA6	A0A3Q7GVA6_SOLLC	unreviewed		Solyc04g049095.1.1;	
A0A3Q7HC09	A0A3Q7HC09_SOLLC	unreviewed	101250134	Solyc07g042020.3.1;	
A0A3Q7H1V0	A0A3Q7H1V0_SOLLC	unreviewed		Solyc06g082100.3.1;	
A0A3Q7FKC5	A0A3Q7FKC5_SOLLC	unreviewed		Solyc03g082850.3.1;	
Q7M2E1	Q7M2E1_SOLLC	unreviewed			
A0A3Q7EAJ4	A0A3Q7EAJ4_SOLLC	unreviewed		Solyc01g009700.2.1;	
A0A3Q7IMD9	A0A3Q7IMD9_SOLLC	unreviewed	101245012	Solyc10g083970.1.1;	
A0A3Q7J169	A0A3Q7J169_SOLLC	unreviewed		Solyc11g072640.2.1;	
Q94GA4	Q94GA4_SOLLC	unreviewed	ACS5		
A0A3Q7IDC1	A0A3Q7IDC1_SOLLC	unreviewed		Solyc10g012080.3.1;	
Q9LKW1	Q9LKW1_SOLLC	unreviewed			
A0A3Q7G710	A0A3Q7G710_SOLLC	unreviewed	101258946	Solyc04g064610.3.1;	
G3BGV1	G3BGV1_SOLLC	unreviewed	TCP11		
Q8GUC2	Q8GUC2_SOLLC	unreviewed	psi14A		
A0A3Q7G679	A0A3Q7G679_SOLLC	unreviewed	101263700	Solyc04g071160.3.1;	
Q70LP8	Q70LP8_SOLLC	unreviewed	rpb2		
A0A3Q7HQW3	A0A3Q7HQW3_SOLLC	unreviewed	101260752	Solyc08g075960.3.1;	
K4AVU6	K4AVU6_SOLLC	unreviewed		Solyc01g057350.1.1;	
K4DDC2	K4DDC2_SOLLC	unreviewed		Solyc12g017950.1.1;	
Q8GT46	Q8GT46_SOLLC	unreviewed	hero		
K4D868	K4D868_SOLLC	unreviewed		Solyc11g043010.1.1;	4081.Solyc11g043010.1.1;
I7AL54	I7AL54_SOLLC	unreviewed	SW5F		
K4CZD2	K4CZD2_SOLLC	unreviewed		Solyc10g038090.1.1;	
K4D070	K4D070_SOLLC	unreviewed		Solyc10g048110.1.1;	
A0A3Q7IA72	A0A3Q7IA72_SOLLC	unreviewed		Solyc09g098130.2.1;	
K4BU30	K4BU30_SOLLC	unreviewed		Solyc04g074920.2.1;	4081.Solyc04g074920.2.1;
K4B0M0	K4B0M0_SOLLC	unreviewed		Solyc01g098330.1.1;	4081.Solyc01g098330.1.1;
Q42895	Q42895_SOLLC	unreviewed			
K4CDX4	K4CDX4_SOLLC	unreviewed		Solyc07g040970.1.1;	
Q8RW34	Q8RW34_SOLLC	unreviewed			4081.Solyc08g081920.2.1;
K4BHJ8	K4BHJ8_SOLLC	unreviewed		Solyc03g071680.1.1;	4081.Solyc03g071680.1.1;
K4D2M0	K4D2M0_SOLLC	unreviewed		Solyc10g079790.1.1;	
K4DAG4	K4DAG4_SOLLC	unreviewed		Solyc11g070080.1.1;	
K4AUB2	K4AUB2_SOLLC	unreviewed		Solyc01g014770.1.1;	4081.Solyc01g014770.1.1;
K4BLE4	K4BLE4_SOLLC	unreviewed	109119793	Solyc03g116420.1.1;	4081.Solyc03g116420.1.1;
K4D6W7	K4D6W7_SOLLC	unreviewed		Solyc11g020150.1.1;	4081.Solyc11g020150.1.1;
K4CH50	K4CH50_SOLLC	unreviewed		Solyc07g063670.2.1;	4081.Solyc07g063670.2.1;
K4AU80	K4AU80_SOLLC	unreviewed		Solyc01g014430.1.1;	4081.Solyc01g014430.1.1;
K4BGK9	K4BGK9_SOLLC	unreviewed		Solyc03g053070.1.1;	
K4CZN5	K4CZN5_SOLLC	unreviewed		Solyc10g045150.1.1;	
K4AUF5	K4AUF5_SOLLC	unreviewed		Solyc01g015210.1.1;	
K4D4D7	K4D4D7_SOLLC	unreviewed		Solyc11g005240.1.1;	
K4D590	K4D590_SOLLC	unreviewed		Solyc11g008300.1.1;	
K4CR66	K4CR66_SOLLC	unreviewed	101265953	Solyc09g010390.2.1;	4081.Solyc09g010390.2.1;
K4CU56	K4CU56_SOLLC	unreviewed		Solyc09g064260.1.1;	
A0A3Q7FVY6	A0A3Q7FVY6_SOLLC	unreviewed		Solyc02g086780.3.1;	
K4BZL1	K4BZL1_SOLLC	unreviewed		Solyc05g023720.1.1;	4081.Solyc05g023720.1.1;
A0A3Q7H576	A0A3Q7H576_SOLLC	unreviewed	101251998	Solyc06g083280.2.1;	
A0A3Q7FT43	A0A3Q7FT43_SOLLC	unreviewed		Solyc02g082030.3.1;	
K4CT53	K4CT53_SOLLC	unreviewed		Solyc09g055560.1.1;	4081.Solyc09g055560.1.1;
A0A3Q7FRB8	A0A3Q7FRB8_SOLLC	unreviewed	101268269	Solyc03g111090.3.1;	
A0A3Q7GUH8	A0A3Q7GUH8_SOLLC	unreviewed		Solyc04g026340.2.1;	
A0A3Q7FYG1	A0A3Q7FYG1_SOLLC	unreviewed		Solyc04g005550.2.1;	
A0A3Q7FTC9	A0A3Q7FTC9_SOLLC	unreviewed	101250203	Solyc03g116020.3.1;	
A0A3Q7H2N6	A0A3Q7H2N6_SOLLC	unreviewed	101266531	Solyc07g005540.1.1;	
K4BI94	K4BI94_SOLLC	unreviewed		Solyc03g083180.1.1;	
K4CCA2	K4CCA2_SOLLC	unreviewed		Solyc07g015840.1.1;	
A0A3Q7IYS5	A0A3Q7IYS5_SOLLC	unreviewed		Solyc09g059817.1.1;	
A0A3Q7IDK7	A0A3Q7IDK7_SOLLC	unreviewed		Solyc10g037995.1.1;	
A0A3Q7IFP1	A0A3Q7IFP1_SOLLC	unreviewed		Solyc10g049890.2.1;	
K4B5Q6	K4B5Q6_SOLLC	unreviewed		Solyc02g036120.1.1;	
K4CU60	K4CU60_SOLLC	unreviewed		Solyc09g064300.1.1;	
K4C5H1	K4C5H1_SOLLC	unreviewed		Solyc06g050260.1.1;	
A0A3Q7G0W3	A0A3Q7G0W3_SOLLC	unreviewed		Solyc04g011967.1.1;	
K4ATW8	K4ATW8_SOLLC	unreviewed		Solyc01g011300.1.1;	
A0A3Q7EVU2	A0A3Q7EVU2_SOLLC	unreviewed		Solyc02g014845.1.1;	
A0A3Q7FX21	A0A3Q7FX21_SOLLC	unreviewed	101264589	Solyc02g088670.1.1;	
K4AUJ1	K4AUJ1_SOLLC	unreviewed		Solyc01g016600.1.1;	
K4D4Q7	K4D4Q7_SOLLC	unreviewed		Solyc11g006440.1.1;	4081.Solyc11g006440.1.1;
A0A3Q7H533	A0A3Q7H533_SOLLC	unreviewed	101264639	Solyc06g083760.3.1;	
A0A3Q7EZI4	A0A3Q7EZI4_SOLLC	unreviewed		Solyc02g062975.1.1;	
A0A3Q7HXY7	A0A3Q7HXY7_SOLLC	unreviewed	101263720	Solyc06g082670.3.1;	
K4CNB9	K4CNB9_SOLLC	unreviewed		Solyc08g077600.1.1;	4081.Solyc08g077600.1.1;
K4AUK7	K4AUK7_SOLLC	unreviewed		Solyc01g016760.1.1;	
K4D1N7	K4D1N7_SOLLC	unreviewed		Solyc10g074450.1.1;	
Q43529	Q43529_SOLLC	unreviewed	VAHOX1		4081.Solyc03g113270.2.1;
K4D139	K4D139_SOLLC	unreviewed		Solyc10g054410.1.1;	
K4AVF3	K4AVF3_SOLLC	unreviewed		Solyc01g049720.1.1;	
K4AXN6	K4AXN6_SOLLC	unreviewed		Solyc01g079910.1.1;	
A0A3Q7FBF4	A0A3Q7FBF4_SOLLC	unreviewed		Solyc02g089790.3.1;	
A0A3Q7G184	A0A3Q7G184_SOLLC	unreviewed		Solyc04g024490.1.1;	
A0A3Q7G1P7	A0A3Q7G1P7_SOLLC	unreviewed	101249795	Solyc03g006230.1.1;	
K4CLU0	K4CLU0_SOLLC	unreviewed		Solyc08g067140.1.1;	
K4BFG9	K4BFG9_SOLLC	unreviewed	LecRK Solyc03g031980.2.1		4081.Solyc03g031980.2.1;
K4C9H5	K4C9H5_SOLLC	unreviewed		Solyc06g074570.1.1;	
A0A3Q7GBJ3	A0A3Q7GBJ3_SOLLC	unreviewed	101245844	Solyc05g005330.3.1;	
K4AUV6	K4AUV6_SOLLC	unreviewed		Solyc01g017750.1.1;	
K4D361	K4D361_SOLLC	unreviewed	101245307	Solyc10g081750.1.1;	4081.Solyc10g081750.1.1;
K4CT96	K4CT96_SOLLC	unreviewed		Solyc09g056010.1.1;	
K4D7F3	K4D7F3_SOLLC	unreviewed		Solyc11g028120.1.1;	4081.Solyc11g028120.1.1;
K4DG97	K4DG97_SOLLC	unreviewed		Solyc12g062710.1.1;	4081.Solyc12g062710.1.1;
K4BBL7	K4BBL7_SOLLC	unreviewed		Solyc02g087100.1.1;	4081.Solyc02g087100.1.1;
K4BT51	K4BT51_SOLLC	unreviewed		Solyc04g064600.1.1;	
A0A3Q7ITG2	A0A3Q7ITG2_SOLLC	unreviewed	101251742	Solyc11g020320.1.1;	
Q5D8D3	Q5D8D3_SOLLC	unreviewed	Acx1A		4081.Solyc08g078390.2.1;
K4CZG8	K4CZG8_SOLLC	unreviewed		Solyc10g044430.1.1;	
K4CLJ2	K4CLJ2_SOLLC	unreviewed		Solyc08g066150.1.1;	
A0A3Q7HU89	A0A3Q7HU89_SOLLC	unreviewed		Solyc08g081195.1.1;	
A0A3Q7HT35	A0A3Q7HT35_SOLLC	unreviewed		Solyc08g078910.2.1;	
A0A3Q7GG00	A0A3Q7GG00_SOLLC	unreviewed	104646606	Solyc03g114310.3.1;	
A0A3Q7JB93	A0A3Q7JB93_SOLLC	unreviewed	101256569	Solyc12g056760.2.1;	
A0A3Q7FCR6	A0A3Q7FCR6_SOLLC	unreviewed		Solyc03g005380.3.1;	
A0A3Q7GMC2	A0A3Q7GMC2_SOLLC	unreviewed	101247921	Solyc05g051870.3.1;	
A0A3Q7GEQ5	A0A3Q7GEQ5_SOLLC	unreviewed	101249173	Solyc05g012570.3.1;	
A0A3Q7HMY2	A0A3Q7HMY2_SOLLC	unreviewed		Solyc08g065410.2.1;	
A0A3Q7GI99	A0A3Q7GI99_SOLLC	unreviewed		Solyc03g117760.3.1;	
A0A3Q7EQU6	A0A3Q7EQU6_SOLLC	unreviewed		Solyc01g102435.1.1;	
A0A3Q7GBW1	A0A3Q7GBW1_SOLLC	unreviewed		Solyc03g096003.1.1;	
A0A3Q7IBZ7	A0A3Q7IBZ7_SOLLC	unreviewed		Solyc07g064373.1.1;	
A0A3Q7GDT4	A0A3Q7GDT4_SOLLC	unreviewed	544193	Solyc05g007940.3.1;	
A0A3Q7HII1	A0A3Q7HII1_SOLLC	unreviewed		Solyc07g065735.1.1;	
A0A3Q7HNX7	A0A3Q7HNX7_SOLLC	unreviewed		Solyc06g051825.1.1;	
A0A3Q7HKA0	A0A3Q7HKA0_SOLLC	unreviewed	101252203	Solyc08g006830.3.1;	
A0A3Q7IW22	A0A3Q7IW22_SOLLC	unreviewed		Solyc11g042553.1.1;	
Q0Z957	Q0Z957_SOLLC	unreviewed			
A0A3Q7GVM8	A0A3Q7GVM8_SOLLC	unreviewed	104647955	Solyc06g050950.3.1;	
A0A3Q7ICD1	A0A3Q7ICD1_SOLLC	unreviewed		Solyc10g008570.3.1;	
A0A3Q7J216	A0A3Q7J216_SOLLC	unreviewed		Solyc12g006575.1.1;	
A0A3Q7HTF0	A0A3Q7HTF0_SOLLC	unreviewed		Solyc08g079540.3.1;	
A0A3Q7GCA6	A0A3Q7GCA6_SOLLC	unreviewed		Solyc05g006860.3.1;	
A0A3Q7ICA9	A0A3Q7ICA9_SOLLC	unreviewed		Solyc10g008450.1.1;	
A0A3Q7HPD3	A0A3Q7HPD3_SOLLC	unreviewed		Solyc08g067590.1.1;	
A0A3Q7JLG0	A0A3Q7JLG0_SOLLC	unreviewed		Solyc11g032045.1.1;	
A0A3Q7E6W6	A0A3Q7E6W6_SOLLC	unreviewed		Solyc00g007070.3.1;	
A0A3Q7G225	A0A3Q7G225_SOLLC	unreviewed		Solyc04g053140.2.1;	
A0A3Q7EY82	A0A3Q7EY82_SOLLC	unreviewed		Solyc02g030120.2.1;	
A0A3Q7ED09	A0A3Q7ED09_SOLLC	unreviewed		Solyc01g049918.1.1;	
A0A3Q7FK39	A0A3Q7FK39_SOLLC	unreviewed		Solyc03g082410.3.1;	
A0A3Q7GKC0	A0A3Q7GKC0_SOLLC	unreviewed		Solyc05g050015.1.1;	
A0A3Q7HVX6	A0A3Q7HVX6_SOLLC	unreviewed		Solyc09g005660.3.1;	
A0A3Q7GAF7	A0A3Q7GAF7_SOLLC	unreviewed		Solyc03g083680.1.1;	
A0A3Q7FI19	A0A3Q7FI19_SOLLC	unreviewed		Solyc03g031900.2.1;	
A0A3Q7FUJ3	A0A3Q7FUJ3_SOLLC	unreviewed	100037503	Solyc03g123400.1.1;	
A0A3Q7GDT0	A0A3Q7GDT0_SOLLC	unreviewed	101249357	Solyc05g007910.3.1;	
A0A494G937	A0A494G937_SOLLC	unreviewed		Solyc00g023600.2.1;	
A0A3Q7GWC4	A0A3Q7GWC4_SOLLC	unreviewed		Solyc06g053530.3.1;	
A0A3Q7H2G2	A0A3Q7H2G2_SOLLC	unreviewed		Solyc04g079603.1.1;	
A0A3Q7GGD9	A0A3Q7GGD9_SOLLC	unreviewed	101245945	Solyc05g013720.3.1;	
A0A3Q7FJ94	A0A3Q7FJ94_SOLLC	unreviewed	101254357	Solyc02g062020.3.1;	
A0A3Q7GLG8	A0A3Q7GLG8_SOLLC	unreviewed		Solyc05g052365.1.1;	
A0A3Q7JDQ1	A0A3Q7JDQ1_SOLLC	unreviewed	101258542	Solyc12g096310.2.1;	
A0A3Q7GRM8	A0A3Q7GRM8_SOLLC	unreviewed	101262726	Solyc06g050550.3.1;	
Q9ZS42	Q9ZS42_SOLLC	unreviewed	sbt4e		
A0A3Q7GIY4	A0A3Q7GIY4_SOLLC	unreviewed	101257863	Solyc05g040040.1.1;	
A0A3Q7FN32	A0A3Q7FN32_SOLLC	unreviewed		Solyc03g097930.3.1;	
A0A3Q7GNC6	A0A3Q7GNC6_SOLLC	unreviewed	101261922	Solyc05g051220.3.1;	
A0A3Q7EFC8	A0A3Q7EFC8_SOLLC	unreviewed		Solyc01g065490.3.1;	
A0A3Q7EQR0	A0A3Q7EQR0_SOLLC	unreviewed	101244424	Solyc01g104580.3.1;	
A0A3Q7HKH8	A0A3Q7HKH8_SOLLC	unreviewed		Solyc08g041661.1.1;	
A0A3Q7HFB7	A0A3Q7HFB7_SOLLC	unreviewed		Solyc07g064500.3.1;	
A0A3Q7J795	A0A3Q7J795_SOLLC	unreviewed		Solyc12g019870.1.1;	
