Entry	Status	yourlist:M201904245C475328CEF75220C360D524E9D456CE077D18J	Gene names
Q1JPP8	reviewed		SMR4 At5g02220 T7H20.270
Q8GYK2	reviewed		At4g22300 T10I14_130
Q9C9D0	reviewed		SOT16 CORI-7 ST5A At1g74100 F2P9.3
Q9FZ80	reviewed		SOT17 ST5C At1g18590 F25I16.7 F25I16_11
Q94KI8	reviewed		TPC1 CCH1 FOU2 At4g03560 F9H3.19 T5L23.5
Q9SJA7	reviewed		At2g24580 F25P17.12
Q9S7P8	reviewed		SP1L3 At3g02180 F14P3.17 F1C9.3
B9DI20	reviewed		SPL13A SPL13 At5g50570 MBA10.13
P0DI11	reviewed		SPL13B SPL13 At5g50670 MFB16.6
P48491	reviewed		CTIMC At3g55440 T22E16.100
Q94BM7	reviewed		SPA4 At1g53090 F8L10.5
Q53YF3	reviewed		At5g27430 F21A20.140
Q944J0	reviewed		At2g22425 F14M13.3
O23141	reviewed		ADC2 SPE2 At4g34710 T4L20.290
Q9ASQ7	reviewed		SLAH2 At4g27970 T13J8.80
Q3EBF7	reviewed		SLD2 At2g46210 T3F17.14
O48713	reviewed		SMU2 At2g26460 T9J22.13
Q9LZ03	reviewed		TOP6A BIN5 RHL2 SPO11-3 At5g02820 F9G14.130
Q8L7W5	reviewed		SMO1-1 At4g12110 F16J13.180
Q9C5V6	reviewed		TOP6B BIN3 HYP6 RHL3 At3g20780 MOE17.8
Q9FLG8	reviewed		At5g64500 T12B11.9
F4IKF6	reviewed		At2g22730 T9I22.17
Q93WU4	reviewed		SPP3A SPP3 At3g54270 F24B22.230
Q93XN8	reviewed		SPP3B SPP2 At3g52340 T25B15.110
Q9C8J4	reviewed		SPP1 At1g51420 F5D21.9
Q9FIH8	reviewed		SPP CPE At5g42390 MDH9.8
Q84UU9	reviewed		TPS06 At1g70080 F20P5.19
O65434	reviewed		TPS07 At4g20200 F1C12.120
Q5M731	reviewed		TH1 At1g22940 F19G10.10
Q9LQ27	reviewed		TPS22 At1g33750 F14M2.13
Q9LIA1	reviewed		TPS25 At3g29410 MUO10.2
Q9C8E3	reviewed		TPS26 At1g66020 F15E12.3
Q9C748	reviewed		TPS28 At1g48800 F11I4_3
Q76FS5	reviewed		SPS2 SPPS At1g17050 F20D23.25
Q9FY54	reviewed		SPS2 KNS2 SPS1 SPSA2 At5g11110 T5K6.100
Q94AH8	reviewed		TPS6 At1g68020 T23K23.13
Q8RY24	reviewed		SPS3 SPSB At1g04920 F13M7.9
Q9LRA7	reviewed		TPS9 At1g23870 T23E23.3
Q9ZUH4	reviewed		TPS10 At2g24210 F27D4.12
Q8LCQ3	reviewed		At5g08565 MAH20.24
Q94C60	reviewed		At5g63670 MBK5.15
Q94BN2	reviewed		SPMS SPDS3 At5g53120 MFH8.5
Q9STN3	reviewed		At4g08350 T28D5.40
O80770	reviewed		At2g34210 F13P17.5
Q8LBH4	reviewed		SPX1 At5g20150 F5O24.40
Q9S7T8	reviewed		At1g47710 F16N3.3 T2E6.22
O48917	reviewed		SQD1 At4g33030 F26P21.150
Q8S4F6	reviewed		SQD2 At5g01220 F7J8.200
Q9SIR9	reviewed		At2g25240 T22F11.17
Q9SH52	reviewed		At1g64030 F22C12.22
O04582	reviewed		At1g62170 F19K23.10
Q66GP0	reviewed		SR1IP1 At5g67385 K8K14
Q9XFR5	reviewed		SR30 SRP30 At1g09140 T12M4.19
A2RVS6	reviewed		SR34A SRP34A At3g49430 T1G12.13 T9C5.30
F4K0C4	reviewed		TRS130 CLUB At5g54440 F24B18.6
Q84TH4	reviewed		SR45A TRA2 At1g07350 F22G5.31
P37106	reviewed		SRP-54A SRP-54 At1g15310 F9L1.25
O23166	reviewed		HCF164 At4g37200 C7A10.160
Q8L3X8	reviewed		SCL30 At3g55460 T22E16.120
P0DH86	reviewed		SRK
Q8RWB1	reviewed		SRL1 At5g37370 MNJ8.19
Q9FNN6	reviewed		SRM1 At5g08520
O82289	reviewed		SRO1 CEO2 At2g35510 T32F12.11
Q9ZUD9	reviewed		SRO2 CEO3 At1g23550 F28C11.18 F5O8.11
O64592	reviewed		SRO3 CEO4 At1g70440 F17O7.2 F24J13.1
Q9STU1	reviewed		SRO4 CEO5 At3g47720 T23J7.50
Q9FJJ3	reviewed		SRO5 At5g62520 K19B1.13
Q8W1Y0	reviewed		SYN4 At5g16270 T21H19.190
Q8L627	reviewed		SRD2 At1g28560 F1K23.20 F3M18.1
Q9XIR8	reviewed		DSS1(I) At1g64750 F13O11.6
B5X561	reviewed		SHA STATLA At1g17040 F20D23.26
Q9LU91	reviewed		SKIP14 At3g26000 MPE11.17
O65416	reviewed		SKIP27 At4g21510 F18E5.130
Q9FF61	reviewed		At5g05130 MUG13.1
F4ISQ7	reviewed		At2g32000 F22D22.25
Q9ZV27	reviewed		SMR10 At2g28870 F8N16.16
Q9FJL0	reviewed		SMC4 CAP-C At5g48600 K15N18.7
Q9SD96	reviewed		SNAP29 At5g07880 F13G24.80 MXM12.11
Q9MA96	reviewed		At3g05230 T12H1.20
Q700C7	reviewed		SPCH BHLH98 EN19 At5g53210 MFH8.15
P58684	reviewed		At2g39960 T28M21.12
Q9ZUB3	reviewed		SPDSYN1 At1g23820 F5O8.38
F4J8D3	reviewed		TPLATE T22 At3g01780 F28J7.11 F4P13.33
Q94AI7	reviewed		TPL WSIP1 At1g15750 F7H2.9
B3H6H8	reviewed		SPH10 At2g23142 F21P24 T20D16
Q9FI83	reviewed		SPH28 At5g06030 K18J17.23
P0DN93	reviewed		SPH29 At5g37035 MJG14
F4JZG1	reviewed		SPH4 At5g12070 F14F18
F2Q9V4	reviewed		SPH6 At5g05825 MJJ3
Q2HQ46	reviewed		SPH74 At4g29035 F25O24
B3H5E1	reviewed		SPH7 At5g27238 T21B4
B3H453	reviewed		SPH8 At5g38435 MXI10
Q8L7L1	reviewed		SPHK1 At4g21540 F18E5.160
Q8SAB7	reviewed		SPK1 At4g16340 dl4200c FCAALL.346
P93015	reviewed		SPL3 At2g33810 T1B8.11
Q700C2	reviewed		SPL16 SPL1R3 At1g76580 F14G6.18
Q94HV7	reviewed		SPL1 DIAL2 ZCF61 At1g59560 T30E16.12 T4M14.12
Q67XC9	reviewed		TPPD At1g35910 F10O5.8
Q9SU39	reviewed		TPPF TPP5 At4g12430 T1P17.20
Q9M4A1	reviewed		SPO11-2 At1g63990 F22C12.24
Q0WV90	reviewed		TPR1 MOS10 At1g80490 F7H12 T21F11.18
Q9LRZ0	reviewed		TPR2 At3g16830 K20I9.6
Q9M1W7	reviewed		SKIP30 At3g63220 F16M2.70
Q9SSF1	reviewed		SMD1A At3g07590 MLP3.4
Q9SY09	reviewed		SMD1B At4g02840 T5J8.16
Q9SGE2	reviewed		SMR2 At1g08180 T23G18.4 T6D22.27
Q9LZ60	reviewed		SMR3 At5g02420 T22P11.10
Q8VWZ8	reviewed		SMO2-2 SMO1 At1g07420 F22G5.23
O04539	reviewed		SNL4 At1g70060 F20P5.21
Q9LM02	reviewed		SMT1 CPH At5g13710 MSH12.18
Q94JS4	reviewed		SMT3 At1g76090 T23E18.40
B9DFS6	reviewed		SNX2B At5g07120 T28J14_60
Q9LU64	reviewed		FSD2 APG8 At5g51100 MWD22.4
Q9M9H7	reviewed		SOL1 At1g71696 F14O23.7 F26A9.4
Q8LL17	reviewed		SON1 At2g17310 F5J6.7
Q9ZPQ5	reviewed		SOT13 At2g03770 F19B11
Q8GZ53	reviewed		SOT14 ST2B At5g07000 MOJ9.17
Q8L5A7	reviewed		SOT15 ST2A At5g07010 MOJ9.18
Q9C9C9	reviewed		SOT18 ST5B At1g74090 F2P9.4
Q9SD25	reviewed		SOT2 At3g51210 F24M12.250
Q9STQ6	reviewed		SOT3 At4g26280 T25K17.90
Q9M1V2	reviewed		SOT5 ST3A At3g45070 T14D3.10
Q9FZ91	reviewed		SOT7 At1g28170 F3H9.17
Q8LGD1	reviewed		SP1L5 At4g23496 F16G20
Q8L7N4	reviewed		SP1 DIAL1 At1g63900/At1g63890 T12P18.8/T12P18.9
Q9SKP6	reviewed		TIM At2g21170 F26H11.7
Q9SYX2	reviewed		SPA1 At2g46340/At2g46350 F11C10.3/F11C10.4
Q9T014	reviewed		SPA2 At4g11110 F2P3.13 F2P3.14 T22B4.90
Q9LJR3	reviewed		SPA3 At3g15354 K7L4.16
Q9ZU90	reviewed		SKIP28 MEE11 At2g01620 T8O11.21
Q9LZZ7	reviewed		At3g60660 T4C21_70
Q9FNI6	reviewed		RAD5A RAD5 At5g22750 MDJ22.17
Q5E930	reviewed		SLAH1 At1g62280 F19K23.20
Q9LVP1	reviewed		TOP3A At5g63920 MGI19.16
Q9FLR5	reviewed		SMC6A At5g07660 MBK20.10
Q9FII7	reviewed		SMC6B MIM At5g61460 MCI2.2
Q0WVM7	reviewed		SLK1 At4g25520 M7J2.110
Q94BP0	reviewed		SLK2 At5g62090 MTG10.12
Q8W117	reviewed		SMU1 At1g73720 F25P22.14
Q9SAD3	reviewed		SMR8 At1g10690 T16B5.17
Q56YN8	reviewed		SMC3 TTN7 At2g27170 T22O13.6
Q9LFQ3	reviewed		SNL2 At5g15020 F2G14.140
Q9FG38	reviewed		SNX1 VPS5 At5g06140 K16F4.11 MBL20
P24704	reviewed		CSD1 SODCC At1g08830 F22O13.32
Q9LXZ5	reviewed		ASNAP1 At3g56450 T5P19_100
Q9LYK8	reviewed		MSD2 At3g56350 F18O21_310
Q93ZH1	reviewed		TOR1L4 At1g27210 F17L21.1 T7N9.27
A0A178U9Y5	reviewed		TPS20 AXX17_At5g46650
O82330	reviewed		SOT10 ST4A At2g14920 T26I20
Q8RV79	reviewed		SOT11 At2g03750 F19B11
P52839	reviewed		SOT12 RAR047 ST1 At2g03760 F19B11.21
Q9FG94	reviewed		SOT1 At5g43690 MQD19.2
Q8RUC1	reviewed		SOT4 At2g27570 F10A12
Q9M1V1	reviewed		SOT6 ST3B At3g45080 T14D3.20
Q67XT3	reviewed		SPC24 MUN At3g08880 T16O11.19
F4IV16	reviewed		TPK2 At2g44750 F16B22.24
Q84X40	reviewed		SPEAR1 TIE2 At2g20080 T2G17.12
F4IGU3	reviewed		SPEAR2 TIE4 At2g34010 T14G11.13
B3H4B5	reviewed		SPH11 At2g23148 F21P24 T20D16
Q680N1	reviewed		SPH12 At5g26060 T1N24.10
Q5XV33	reviewed		SPH13 At5g26050 T1N24.10
Q8GX02	reviewed		SPH14 At1g09245 T12M4
F2Q9V5	reviewed		SPH16 At4g23498 F16G20
B3H730	reviewed		SPH18 At4g24973 F6I7
Q9SJ66	reviewed		SPP2 SPP1 At2g35840 F11F19.25
Q9LVP7	reviewed		TPS16 At3g29110 MXE2.1
Q9FI27	reviewed		TPS20 At5g48110 MDN11.20
Q9C6W6	reviewed		TPS29 At1g31950 F5M6.5 T12O21.14
Q8S948	reviewed		SPS1 SPPS SPS At1g78510 T30F21.15
Q9LH31	reviewed		TPS30 At3g32030 T8O3.12
Q9SHG0	reviewed		TPS3 At1g17000 F20D23.30
Q9T079	reviewed		TPS4 At4g27550 T29A15.40
Q5HZ00	reviewed		SPS3 GPS1 At2g34630 T31E10.3
Q94BT0	reviewed		SPS1 SPSA1 At5g20280 F5O24.170
O23617	reviewed		TPS5 At4g17770 dl4920W FCAALL.9
Q9LMI0	reviewed		TPS7 TPSA At1g06410 T2D23.11
Q0WUI9	reviewed		TPS8 TPS2 TPSC At1g70290 F17O7.18
A8MS85	reviewed		SPT6 GTB1 SPT6L At1g65440 T8F5.22
Q9LD83	reviewed		SLAC1 CDI3 OZS1 RCD3 At1g12480 F5O11.23 T12C24.3
F4I3Z5	reviewed		SKI3 At1g76630 F14G6.23
Q9FDX1	reviewed		SKIP1 At5g57900 MTI20.16
Q9S7E6	reviewed		SMD3A At1g76300 F15M4.20 T23E18.23
Q9MA17	reviewed		SMB NAC033 At1g79580 F20B17.1
Q1ECS0	reviewed		SMAP2 At3g24280 K7M2.4
Q9C5Y4	reviewed		SMC2-1 CAP-E1 TTN3 At5g62410 MMI9.19 MMI9.24
O23530	reviewed		SNC1 BAL At4g16890 dl4475c FCAALL.51
Q3ECS5	reviewed		SMR9 At1g51355 F11M15
Q6PV68	reviewed		SMZ At3g54990 F28P10.30
Q9SZR3	reviewed		SMXL4 HSPR At4g29920 F27B13.160
Q9LU73	reviewed		SMXL5 At5g57130 MUL3.8
Q944A6	reviewed		SNF4 CBSCBS3 At1g09020 F7G19.11
F4IGZ2	reviewed		SMXL8 At2g40130 T07M07.2
Q949S9	reviewed		MOS4 BCAS2 SPF27 At3g18165 MRC8.16
Q9FLY6	reviewed		SPH15 At5g39493 MUL8.19
P0DN94	reviewed		SPH17 At4g08558 T15F16
F4JLQ5	reviewed		SPH2 At4g16195 FCAALL
Q9LVX2	reviewed		SPH31 At3g27680 MGF10.9
Q9LJ82	reviewed		SPH32 At3g30714 F21A17.7
Q9S7A9	reviewed		SPL4 At1g53160 F12M16.2
Q9FZK0	reviewed		SPL11 At1g27360 F17L21.14
Q8GWG2	reviewed		TPPH At4g39770 T19P19.160
F4JVN6	reviewed		TPP2 At4g20850 T13K14.10
F4KFG5	reviewed		TPPI At5g10100 T31P16.90
Q84JM4	reviewed		TPR3 At5g27030 F15P11.3 F2P16.14
O23651	reviewed		TPS01 TC1 TS1 At4g15870 dl3975c FCAALL.405
A4FVP2	reviewed		TPS03 At4g16740 dl4395w FCAALL.18
O65435	reviewed		TPS08 At4g20210 F1C12.130
Q9LS76	reviewed		TPS15 At3g29190 MXO21.3
Q94A21	reviewed		SPX4 At5g15330 F8M21_220
Q3EDG5	reviewed		TPST At1g08030 T6D22.29
Q2V4F9	reviewed		At1g63010 F16M19.18 F16P17.18
Q9SEU4	reviewed		SCL33 SR33 At1g55310 F7A10.15
P43291	reviewed		SRK2A ASK1 OSKL7 SNRK2.4 At1g10940 T19D16.14
Q9C958	reviewed		SRK2B OSKL6 SNRK2.10 At1g60940 T7P1.8
Q943Z6	reviewed		SRP19 At1g48160 F21D18.11
Q39224	reviewed		SRG1 At1g17020 F20D23.28 F6I1.30
Q6R2J8	reviewed		SRF8 At4g22130 F1N20.230
Q9LZV4	reviewed		STN8 At5g01920 T20L15_190
Q9FMX3	reviewed		STP11 At5g23270 MKD15.13
O81127	reviewed		RSZ21 RSZP21 SRZ21 At1g23860 T23E23.2
P92557	reviewed		RPS7 AtMg01270; At2g07696
D5K211	reviewed		RTM2
D9UBX4	reviewed		RTM2
Q9FMF4	reviewed		SAC51 BHLH142 EN128 At5g64340 MSJ1.18
Q9LVY1	reviewed		TAT At5g36160 MAB16.11
Q9FJF6	reviewed		SAUR23 At5g18060 MCM23.16
Q9SK39	reviewed		MP3 MAPR2 At2g24940 F27C12.14
Q9C7U8	reviewed		SBT3.17 At1g66220 T6J19.4
Q9STQ2	reviewed		SBT3.18 UNE17 At4g26330 T25K17.140
Q84WS0	reviewed		SBTI1.1 At1g01900 F22M8.3
Q9LXX6	reviewed		SEC15A At3g56640 T5P19.290
Q9LVJ1	reviewed		SBT1.4 At3g14067 MDC16.21
Q9M291	reviewed		CEF At3g44340 T22K7_20
Q9FIG1	reviewed		SBT4.11 At5g59130 MNC17.4
Q9LZS6	reviewed		SBT4.15 At5g03620 F17C15.40
Q9FL03	reviewed		SCL4 At5g66770 MUD21.1
Q9SV02	reviewed		SCPL39 At3g52020 F4F15.130
Q9CAU1	reviewed		SCPL3 At1g73280 T18K17.5
Q9MAR8	reviewed		SCPL44 At1g43780 F28H19.3 F28H19.5
O81009	reviewed		SCPL12 At2g22920 T20K9.13
Q56WF8	reviewed		SCPL48 At3g45010 F14D17.80
Q9CAU3	reviewed		SCPL2 At1g73300 T18K17.3
Q9C524	reviewed		At1g66430 F28G11.11 T27F4.17
Q9FLH8	reviewed		At5g51830 MIO24.3
Q9SX54	reviewed		At1g50390 F14I3.3
F4IQV7	reviewed		SCY2 EMB2289 At2g31530 T9H9.5
P0DKI1	reviewed		SDH3-2 At4g32210 F10M6.150
F4JNX2	reviewed		P85 At4g35985 T19K4.110
Q9ZPX5	reviewed		SDH1-2 At2g18450 T30D6.4
Q9SCU0	reviewed		SDR2a SDR2 At3g51680 T18N14.60
F4JVA9	reviewed		SFH2 At4g39180 T22F8.80
Q93ZE9	reviewed		SFH3 At2g21540 F2G1.19 F3K23.30
F4HP88	reviewed		SFH4 At1g19650 F14P1.2
F4IP13	reviewed		SGR6 At2g36810 F13K3.21
Q9LDX1	reviewed		SGS3 At5g23570 MQM1.17
Q3E958	reviewed		SHN3 ERF005 At5g25390 F18G18.130
Q9LHP2	reviewed		SCL30A At3g13570 K20M4.1
Q9FHN6	reviewed		SKS2 At5g51480 K17N15.3
Q9LNX4	reviewed		SMR5 At1g07500 F22G5.11
Q9FZ99	reviewed		SMG7L At1g28260 F3H9.9
Q9T041	reviewed		TOR1 CN SPR2 At4g27060 T24A18.10
Q9FR53	reviewed		TOR At1g50030 F2J10.19
Q8VZ10	reviewed		SOQ1 At1g56500 F13N6.21
Q9FX56	reviewed		SOT8 ST4B At1g13420 T6J4.16
Q9FX55	reviewed		STO9 ST4C At1g13430 F13B4.24
Q84JC0	reviewed		At5g40530 MNF13.4
P59223	reviewed		RPS13A At3g60770 T4C21_180
Q9ZVD0	reviewed		SE At2g27100 T20P8.15
O48549	reviewed		RPS6A At4g31700 F28M20.110
Q9FLQ0	reviewed		At5g55110 MCO15.6
Q9SHG6	reviewed		STIPL1 NTR1 At1g17070 F20D23.23
C0SUU6	reviewed		At1g11510 T23J18.17
Q9C517	reviewed		At1g66420 F28G11.12 T27F4.16
Q9CAV7	reviewed		At3g04930 T9J14.12
O23077	reviewed		STKL2 At4g00250 F5I10.12
O23063	reviewed		At4g00390 F5I10.6
O04608	reviewed		At4g01260 F2N1.32
P0DKL0	reviewed		GPL2 At5g14280 F18O22_70
F4JYJ1	reviewed		At5g41765 K16L22
Q9LXG1	reviewed		RPS9B At5g15200 F8M21_90
Q39228	reviewed		STP4 At3g19930 MPN9.17
O04249	reviewed		STP7 At4g02050 AGAA.1 T10M13.6
Q93WI0	reviewed		At5g19370 F7K24.120
Q38853	reviewed		STR15 DIN1 SEN1 At4g35770 F4B14.3 F8D20.280
Q39129	reviewed		STR16 At5g66040 K2A18.11
F4IS91	reviewed		RSA1 emb1579 At2g03150 T18E12.18
F4I933	reviewed		STR8 At1g17850 F2H15.8
Q9LFV0	reviewed		At5g15760 F14F8_140
Q9SKZ3	reviewed		RPS12C At2g32060 F22D22.19
F4KH89	reviewed		SRS8 At5g33210
Q8GYL5	reviewed		RPS25D At4g34555 T4L20
Q8LPJ7	reviewed		RPS26B At2g40510 T2P4.14
Q9SCM3	reviewed		RPS2D At3g57490 T8H10.90
Q680P8	reviewed		RPS29A At3g43980 T15B3.120; RPS29B At3g44010 T15B3.150; RPS29C At4g33865 F17I5.3
Q9SZ28	reviewed		At4g26880 F10M23.220
Q9C6P6	reviewed		KRS At1g50650 F11F12.3 F17J6.17
Q8LD03	reviewed		RPS7C At5g16130 T21H19_509
F4JRP0	reviewed		At4g18820 F28A21.230
Q9SLC6	reviewed		STIPL2 At2g42330
O64728	reviewed		STI At2g02480 T8K22.22
Q93VG5	reviewed		RPS8A At5g20290 F5O24_180
Q9FIF3	reviewed		RPS8B At5g59240 MNC17.15
Q9LG15	reviewed		At1g55950 F14J16.23
Q9ZU30	reviewed		At2g01370 F10A8.25
Q8S8D6	reviewed		At2g20613
Q8VYD2	reviewed		GPL1 At2g25650 F3N11.10
Q9SJM4	reviewed		GPL3 At2g36340 F2H17.5
Q1PED2	reviewed		At4g00130 F6N15.6
Q3EAE7	reviewed		At4g00232 F6N15
Q8LG05	reviewed		STKL1 At4g00238 F5I10
Q9ASZ1	reviewed		GEBP STKR1 At4g00270 F5I10.11
O65270	reviewed		At4g00610 F6N23.29
Q9SB42	reviewed		GEBPL At4g25210 F24A6.50
F4K5T4	reviewed		At5g28040 F15F15.110
Q93Y91	reviewed		STP5 At1g34580 F12K21.8
Q9SX48	reviewed		STP9 At1g50310 F14I3.9
Q9LVJ3	reviewed		RSH2 At3g14050 MDC16.19
Q9M5P5	reviewed		RSH3
Q9LK38	reviewed		SBP3 At3g23800 MYM9.14
A4IJ27	reviewed		ROPGEF3 At4g00460 F5I10.1 F6N23.23
Q1KS66	reviewed		ROPGEF10 At5g19560
Q9M1A8	reviewed		NRPB8B NRPD8B NRPE8B At3g59600 T16L24.150
Q689D6	reviewed		RPD1 At4g33495 F17M5
Q9ZU82	reviewed		RPH1 At2g48070 T9J23.22
Q8VZJ0	reviewed		SIA1 MGP2 At1g08660 F22O13.14
F4JT80	reviewed		RPP2B At4g19510 F24J7.70
Q9C5Z7	reviewed		RPW8.1
O64973	reviewed		RPS5 At1g12220 T28K15.5
Q8L6Z4	reviewed		RPS9M At3g49080 T2J13.70
P42732	reviewed		RPS13 At5g14320 F18O22_110
O80669	reviewed		SIB2 VQ16 At2g41180 T3K9.5
Q9SB47	reviewed		SIC RON3 At4g24500 F22K18.300
P56805	reviewed		rps15 AtCg01120
P56806	reviewed		rps16 AtCg00050
P16180	reviewed		RPS17 At1g79850 F19K16.19
O24629	reviewed		SIGA RPOD1 SIG1 SIG2 SIGB At1g64860 F13O11.16
Q9ZSL6	reviewed		SIGD SIG4 At5g13730 MSH12.20
Q9ZNX9	reviewed		SIGE SIG5 At5g24120 MLE8.4
Q84K34	reviewed		At5g37930 K18L3.13
P56799	reviewed		rps4 AtCg00380
P93014	reviewed		rps5 At2g33800 T1B8.10
P56801	reviewed		rps8 AtCg00770
Q8S3N1	reviewed		SINAT5 At5g53360 K19E1.16
Q5XVI1	reviewed		SINE1 At1g54385 F20D21.21
Q9SW31	reviewed		SINE4 At4g24950 F13M23.90
Q9C9Q6	reviewed		RRA1 At1g75120 F9E10.3
Q9C9Q5	reviewed		RRA2 At1g75110 F9E10.4
Q9LN62	reviewed		RRA3 At1g19360 F18O14.8
Q9M8R9	reviewed		At3g02770 F13E7.29
Q0WMJ8	reviewed		SPPL4 At1g01650 T1N6.3
O81062	reviewed		SPP At2g03120 T18E12.21
Q9FE17	reviewed		SRT1 At5g55760 MDF20.20
Q94AQ6	reviewed		SRT2 At5g09230 T5E8_30
Q9SHL7	reviewed		RRP44A EMB2763 At2g17510
Q9SJ96	reviewed		NRPB6B NRPE6B At2g04630 F28I8.33
Q8RY00	reviewed		SIA2 At3g48820 T21J18.90
Q9C6T5	reviewed		At1g50720 F17J6.24 F4M15.5
Q9C514	reviewed		RPS7A At1g48830 F11I4.1 T24P22.5
F4HW65	reviewed		At1g14460 F14L17.24
Q9LPF0	reviewed		At1g44810 T12C22.8
Q9SYA9	reviewed		At1g61730 T13M11.9
Q9LTF2	reviewed		RPS10C At5g52650 F6N7.14
Q9M7I9	reviewed		SEP1 At4g34190 F28A23.50
Q9SJ02	reviewed		SEP2 At2g21970 F7D8.29
Q9M885	reviewed		RPS7B At3g02560 F16B3.19
F4JRP8	reviewed		At4g24790 F22K18.10
F4KEM0	reviewed		At5g45720 MRA19.13
Q9LNV3	reviewed		STP2 At1g07340 F22G5.32
Q8L7R8	reviewed		STP3 At5g61520 K11J9_40
Q0WWT7	reviewed		STR11 At4g24750 F22K18.50
Q94A65	reviewed		At4g27700 T29A15.190
Q9FKW8	reviewed		STR18 At5g66170 K2A18.25
Q9M158	reviewed		STR4 TROL At4g01050 F2N1.31
O48529	reviewed		STR9 At2g42220 T24P15.13
O81097	reviewed		NRPB8A NRPE8A RPABC16.5 At1g54250 F20D21.7
Q9C998	reviewed		RPI1 RSW10 At1g71100 F23N20.9
A9LLI8	reviewed		RRP6L3 At2g32415
O80439	reviewed		RPS31 PSRP4 At2g38140 F16M14.7
Q9FLF0	reviewed		RPS9C At5g39850 MYH19.1 MYH19.10
Q9FMY3	reviewed		At5g23170 MKD15.3
Q9SR92	reviewed		STR10 At3g08920 T16O11.14
F4IPI4	reviewed		STR17 At2g17850 T13L16.13
O64530	reviewed		STR1 MST1 RDH1 ST1 At1g79230 YUP8H12R.17
Q24JL3	reviewed		STR2 RDH2 At1g16460 F3O9.26
Q56XR7	reviewed		STR4A At3g25480 MWL2.9
Q94AC1	reviewed		STR6 At1g09280 T12M4.1
Q1JPN0	reviewed		STR7 At2g40760 T7D17.1
Q9M5P6	reviewed		RSH2
Q93ZY3	reviewed		STT3A At5g19690 T29J13_110
Q9SYH1	reviewed		RSH3 At1g54130 F15I1.23
Q4V398	reviewed		RRT1 OFUT34 At5g15740 F14F8.120
Q6NQ51	reviewed		RRT4 OFUT3 At1g14020 F16A14.24 F7A19.11
Q93VB8	reviewed		RPS2B RF12 At1g59359 T4M14_3; At1g58983 T4M14.1; At1g58684 R18I.8
Q9LYK9	reviewed		RPS26C At3g56340 F18O21_300
Q8LC83	reviewed		RPS24B At5g28060 F15F15.130
Q9SR73	reviewed		RPS28A At3g10090 T22K18.8; RPS28B At5g03850 F8F6_60 MED24.15
Q9FNF2	reviewed		SS1 At5g24300 MOP9.12
Q9ZT71	reviewed		STA1 EMB2770 At4g03430 F9H3.5
Q9LF04	reviewed		S-ACP-DES1 AAD1 SAD1 At5g16240 T21H19_160
Q9M881	reviewed		S-ACP-DES2 AAD2 SAD2 At3g02610 F16B3.24
Q9LF05	reviewed		S-ACP-DES3 AAD3 SAD3 At5g16230 T21H19_150
Q9M880	reviewed		S-ACP-DES4 AAD4 SAD4 At3g02620 F16B3.25
Q9M879	reviewed		S-ACP-DES5 AAD5 SAD5 At3g02630 F16B3.26
Q84VY3	reviewed		S-ACP-DES6 AAD6 SAD6 At1g43800 F28H19.7
O22832	reviewed		FAB2 SSI2 At2g43710 F18O19.18
P51430	reviewed		RPS6B EMB3010 RPS6 At5g10360 F12B17_290
Q8L5V0	reviewed		NRPB9B NRPD9B NRPE9B At4g16265 FCAALL
Q39212	reviewed		NRPD3B NRPE3B RPB36B At2g15400 F26H6.8
O24600	reviewed		RPOT3 RPOPT RPOTP SCA3 At2g24120 F27D4.3
Q9M667	reviewed		RPP13 At3g46530 F12A12.50
F4JT82	reviewed		At4g19520 F24J7.80
Q93VC7	reviewed		RPS1 At5g30510
Q9FHF0	reviewed		RPS4B At5g45060 K17O22.2
Q9SCX6	reviewed		RPS4
F4KHH8	reviewed		RPS6 At5g46470 K11I1.6
Q9FT74	reviewed		RECQL1 RECQ1 RQL1 At3g05740 F10A16.2
Q9FT72	reviewed		RECQL3 RECQ3 RQL3 At4g35740 F8D20.250
Q9FT70	reviewed		RECQL4B RECQ4B RQL4B At1g60930 T7P1.7
Q9LDH1	reviewed		SIB1 VQ23 At3g56710 T8M16.40
Q8VZA0	reviewed		SIEL At3g08800 F17O14.27
P56807	reviewed		rps18 AtCg00650
O22056	reviewed		SIGB ABC1 SIG1 SIG2 SIGA At1g08540 F22O13.2 T27G7.22
O24621	reviewed		SIGC SIG3 At3g53920 F5K20.220
Q9LD95	reviewed		SIGF SIG6 SOLDAT8 At2g36990 T1J8
P56808	reviewed		rps19 AtCg00820
Q9ASV6	reviewed		RPS20 At3g15190 F4B12.10
P56797	reviewed		rps2 AtCg00160
Q9FM14	reviewed		At5g62800 MQB2.12
P56798	reviewed		rps3 AtCg00800
Q8LES0	reviewed		ROCK1 At5g65000 MXK3.23
P56764	reviewed		rpoC2 AtCg00170
F4JNA9	reviewed		RPP4 CHS2 At4g16860 dl4460c
O65569	reviewed		RPS11B At4g30800 F6I18.290
D1KF50	reviewed		SRS2 At4g25120 F13M23.260
Q9SGA6	reviewed		RPS19A At3g02080 F1C9.13
Q84J78	reviewed		At4g11060 F2P3.2 T22B4.40
Q8L8Y0	reviewed		RPS2A XW6 At1g58380 F19C14.1 F9K23.9
Q8VWF6	reviewed		SSL3 SS9 At1g08470 T27G7.16
