Entry	Entry name	Status	Protein names	Gene names
F4ICK8	IWS1_ARATH	reviewed	Protein IWS1 homolog 1 (AtIWS1) (Interacts with SPT6 protein 1) (Protein HIGH NITROGEN INSENSITIVE 9) (Protein SUPPRESSOR OF BES-1-D 1)	IWS1 HIN9 SEB1 At1g32130 F3C3.8
Q84LG2	BZP68_ARATH	reviewed	bZIP transcription factor 68 (AtbZIP68)	BZIP68 At1g32150 F3C3.7
Q43307	PLSB_ARATH	reviewed	Glycerol-3-phosphate acyltransferase, chloroplastic (GPAT) (EC 2.3.1.15)	ATS1 At1g32200 F3C3.13
Q39080	DAD1_ARATH	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (AtDAD1) (DAD-1)	DAD1 At1g32210 F3C3.14
F4ICM3	F4ICM3_ARATH	unreviewed	Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-)	RCD1 ATP8 AtRCD1 CEO CEO1 RADICAL-INDUCED CELL DEATH1 REDOX IMBALANCED 1 RIMB1 At1g32230 F3C3.1 F3C3_1
Q8RY59	RCD1_ARATH	reviewed	Inactive poly [ADP-ribose] polymerase RCD1 (Protein RADICAL-INDUCED CELL DEATH 1)	RCD1 ATP8 CEO1 At1g32230 F3C3.1
Q9C616	KAN2_ARATH	reviewed	Probable transcription factor KAN2 (Protein KANADI 2)	KAN2 At1g32240 F27G20.7
Q9C613	SAMBA_ARATH	reviewed	Protein SAMBA	SAMBA At1g32310 F27G20.14
Q9LQM8	M2K10_ARATH	reviewed	Mitogen-activated protein kinase kinase 10 (AtMKK10) (MAP kinase kinase 10) (EC 2.7.12.2)	MKK10 At1g32320 F27G20_9 F5D14.7
Q9LQM7	HFA1D_ARATH	reviewed	Heat stress transcription factor A-1d (AtHsfA1d) (AtHsf-01) (Heat shock factor protein 8) (HSF 8) (Heat shock transcription factor 8) (HSTF 8)	HSFA1D HSF01 HSF8 At1g32330 F27G20.6 F5D14.8
Q8LEE7	AOX3_ARATH	reviewed	Ubiquinol oxidase 3, mitochondrial (EC 1.10.3.11) (Alternative oxidase 3)	AOX3 AOX1D At1g32350 F27G20_12 F5D14.11
Q9LQM3	C3H12_ARATH	reviewed	Zinc finger CCCH domain-containing protein 12 (AtC3H12)	At1g32360 F27G20.10 F5D14.12
Q42583	KPRS2_ARATH	reviewed	Ribose-phosphate pyrophosphokinase 2, chloroplastic (EC 2.7.6.1) (PRS II) (Phosphoribosyl pyrophosphate synthase 2)	PRS2 At1g32380 F5D14.15
Q9C5W7	TOM2A_ARATH	reviewed	Tobamovirus multiplication protein 2A (AtTOM2A)	TOM2A At1g32400 F5D14.22
Q9AST6	VSP55_ARATH	reviewed	Vacuolar protein sorting-associated protein 55 homolog	At1g32410 F5D14.32
Q9LQL2	PTR14_ARATH	reviewed	Protein NRT1/ PTR FAMILY 7.3 (AtNPF7.3) (Nitrate transporter 1.5)	NPF7.3 NRT1.5 At1g32450 F5D14.23
Q9LQL0	GCSH3_ARATH	reviewed	Glycine cleavage system H protein 3, mitochondrial	GDH3 At1g32470 F5D14.25
Q9LQK9	IDH4_ARATH	reviewed	Putative isocitrate dehydrogenase [NAD] subunit-like 4 (IDH-IV) (Isocitric dehydrogenase-like protein 4) (NAD(+)-specific ICDH 4)	IDH4 At1g32480 F5D14.26
F4IE90	F4IE90_ARATH	unreviewed	RNA helicase family protein	ESP3 EMB2733 EMBRYO DEFECTIVE 2733 ENHANCED SILENCING PHENOTYPE 3 At1g32490 F5D14.27 F5D14_27
Q8VY00	ESP3_ARATH	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH1 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2) (Protein EMBRYO DEFECTIVE 2733) (Protein ENHANCED SILENCING PHENOTYPE 3)	ESP3 EMB2733 At1g32490 F5D14.27
Q9LQK5	Q9LQK5_ARATH	unreviewed	F5D14.30 protein (NAC domain containing protein 11)	ANAC011 NAC011 At1g32510 F5D14.30 F5D14_30
Q8RX22	MIP1_ARATH	reviewed	MND1-interacting protein 1 (AtMIP1)	MIP1 At1g32530 F5D14.31 T9G5.5
Q93ZB1	LOL1_ARATH	reviewed	Protein LOL1 (Protein LSD ONE LIKE 1) (AtLOL1) (Putative zinc finger LOL1)	LOL1 At1g32540 T9G5.1
Q9C7Y2	MORF5_ARATH	reviewed	Multiple organellar RNA editing factor 5, chloroplastic/mitochondrial (RNA editing-interacting protein 5)	MORF5 RIP5 At1g32580 T9G5.3
Q3ED38	VQ5_ARATH	reviewed	VQ motif-containing protein 5 (AtVQ5)	VQ5 At1g32585
Q39204	MYC2_ARATH	reviewed	Transcription factor MYC2 (AtMYC2) (Basic helix-loop-helix protein 6) (AtbHLH6) (bHLH 6) (Protein JASMONATE INSENSITIVE 1) (R-homologous Arabidopsis protein 1) (RAP-1) (Transcription factor EN 38) (Z-box binding factor 1 protein) (bHLH transcription factor bHLH006) (rd22BP1)	MYC2 BHLH6 EN38 JAI1 JIN1 RAP1 RD22BP1 ZBF1 At1g32640 F6N18.4
A0JQ67	A0JQ67_ARATH	unreviewed	At1g32700 (PLATZ transcription factor family protein)	At1g32700 F6N18.8 F6N18_8
F4IEB6	F4IEB6_ARATH	unreviewed	PLATZ transcription factor family protein	At1g32700 F6N18.8 F6N18_8
Q8LCK5	Q8LCK5_ARATH	unreviewed	SBP (S-ribonuclease binding protein) family protein	At1g32740 F6N18.12 F6N18_12
Q8LRK9	TAF1_ARATH	reviewed	Transcription initiation factor TFIID subunit 1 (TAFII250-A) (TBP-associated factor 1) (AtTAF1) (Transcription initiation factor TFIID subunit 1-A)	TAF1 GTD1 HAC13 HAF1 TAF1A At1g32750 F6N18.13
Q9LPI7	NAC12_ARATH	reviewed	NAC domain-containing protein 12 (ANAC012) (Protein NAC SECONDARY WALL THICKENING PROMOTING 3) (Protein SECONDARY WALL-ASSOCIATED NAC DOMAIN PROTEIN 1)	NAC012 NST3 SND1 At1g32770 F6N18.15
F4IED2	NAC13_ARATH	reviewed	NAC domain-containing protein 13 (ANAC013) (Protein NTM1-like 1)	NAC013 NTL1 At1g32870 F9L11.7
Q9MAQ0	SSG1_ARATH	reviewed	Granule-bound starch synthase 1, chloroplastic/amyloplastic (AtGBS1) (AtGBSS1) (EC 2.4.1.242) (Granule-bound starch synthase I) (GBSS-I)	GBSS1 GBS1 GBSS WAXY At1g32900 F9L11.8
Q9MAP3	RK11_ARATH	reviewed	50S ribosomal protein L11, chloroplastic (CL11)	RPL11 At1g32990 F9L11.15
Q8LGC6	NACA5_ARATH	reviewed	Nascent polypeptide-associated complex subunit alpha-like protein 5 (NAC-alpha-like protein 5) (Alpha-NAC-like protein 5)	At1g33040 F9L11.19
Q94K21	Q94K21_ARATH	unreviewed	Uncharacterized protein unannotated coding sequence from BAC F9L11	At1g33055
B5X570	NAC14_ARATH	reviewed	NAC domain-containing protein 14 (ANAC014) (Protein NTM1-like 2)	NAC014 NTL2 At1g33060
F4HPG6	F4HPG6_ARATH	unreviewed	NAC 014	NAC014 ANAC014 NAC 014 At1g33060 T9L6.13 T9L6_13
F4HPH0	F4HPH0_ARATH	unreviewed	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)	At1g33080 T9L6.14 T9L6_14
Q8RXK1	DTX23_ARATH	reviewed	Protein DETOXIFICATION 23 (AtDTX23) (Multidrug and toxic compound extrusion protein 23) (MATE protein 23)	DTX23 At1g33080 F9L11.22 T9L6.14
F4HPH2	DTX20_ARATH	reviewed	Protein DETOXIFICATION 20 (AtDTX20) (Multidrug and toxic compound extrusion protein 20) (MATE protein 20)	DTX20 At1g33100 F9L11.27 T9L6.18
F4HPH5	F4HPH5_ARATH	unreviewed	MATE efflux family protein	At1g33110 T9L6.1 T9L6_1
Q8W488	DTX21_ARATH	reviewed	Protein DETOXIFICATION 21 (AtDTX21) (Multidrug and toxic compound extrusion protein 21) (MATE protein 21)	DTX21 At1g33110 T9L6.1
P49209	RL91_ARATH	reviewed	60S ribosomal protein L9-1	RPL9B At1g33120 T9L6.2; RPL9C At1g33140 T9L6.5
Q93ZW4	Q93ZW4_ARATH	unreviewed	TMPIT-like protein	At1g33230 T9L6.9 T9L6_9
Q9C882	GTL1_ARATH	reviewed	Trihelix transcription factor GTL1 (GT2-LIKE protein 1) (AtGTL1) (Protein GT-2-LIKE1) (Trihelix DNA-binding protein GTL1)	GTL1 At1g33240 T16O9.10 T9L6.10
Q9C881	Q9C881_ARATH	unreviewed	Beta-1,3-n-acetylglucosaminyltransferase radical fringe protein, putative (DUF604) (Glycosyltransferase)	At1g33250 AT1G33250 T16O9.11 T16O9_11
Q9C878	BRN1_ARATH	reviewed	Protein BEARSKIN1 (NAC domain-containing protein 15) (ANAC015)	BRN1 NAC015 At1g33280 T16O9.16
Q9C811	NU160_ARATH	reviewed	Nuclear pore complex protein NUP160 (AtNUP160) (Nucleoporin 160) (Protein SUPPRESSOR OF AUXIN RESISTANCE 1)	NUP160 SAR1 At1g33410 F10C21.8
F4HR76	F4HR76_ARATH	unreviewed	Hexosyltransferase (EC 2.4.1.-)	At1g33430 F10C21.10 F10C21_10
Q9C809	B3GT8_ARATH	reviewed	Probable beta-1,3-galactosyltransferase 8 (EC 2.4.1.-)	B3GALT8 At1g33430 F10C21.10
Q67YS0	Q67YS0_ARATH	unreviewed	RNA-binding (RRM/RBD/RNP motifs) family protein	At1g33470 F10C21.14 F10C21_14
Q94BU4	Q94BU4_ARATH	unreviewed	At1g33470/F10C21_14 (RNA-binding (RRM/RBD/RNP motifs) family protein)	At1g33470 F10C21.14 F10C21_14
Q9C803	Q9C803_ARATH	unreviewed	E3 ubiquitin-protein ligase	At1g33490 At1g33490/F10C21_22 F10C21.22 F10C21_22
Q9LQ28	ERF22_ARATH	reviewed	Ethylene-responsive transcription factor ERF022	ERF022 At1g33760 F14M2.12
Q9LQ31	JAL4_ARATH	reviewed	Jacalin-related lectin 4	JAL4 At1g33790 F14M2.9
Q9LQ32	GXM3_ARATH	reviewed	Glucuronoxylan 4-O-methyltransferase 3 (EC 2.1.1.112)	GXM3 At1g33800 F14M2.8
Q8L9M8	Q8L9M8_ARATH	unreviewed	Zinc finger/BTB domain protein	At1g33810 At1g33810/F14M2_5 F14M2.27
Q9FEC1	OHP2_ARATH	reviewed	Light-harvesting complex-like protein OHP2, chloroplastic (One-helix protein 2)	OHP2 At1g34000 F12G12.18 T15K4.5
C0LGF5	Y1341_ARATH	reviewed	Probable LRR receptor-like serine/threonine-protein kinase At1g34110 (EC 2.7.11.1)	At1g34110 F12G12.7
F4HT52	F4HT52_ARATH	unreviewed	Auxin response factor	ARF13 AUXIN RESPONSE FACTOR 13 At1g34170 F12G12.1 F12G12_1
Q9FX25	ARFM_ARATH	reviewed	Auxin response factor 13	ARF13 At1g34170 F12G12.1 F23M19.15
Q9XIC7	SERK2_ARATH	reviewed	Somatic embryogenesis receptor kinase 2 (AtSERK2) (EC 2.7.11.1) (Somatic embryogenesis receptor-like kinase 2)	SERK2 At1g34210 F23M19.11
Q8LC53	EPF2_ARATH	reviewed	Protein EPIDERMAL PATTERNING FACTOR 2 [Cleaved into: MEPF2]	EPF2 At1g34245 F23M19
Q9XID4	ARFL_ARATH	reviewed	Auxin response factor 12	ARF12 At1g34310 F23M19.4
Q6NQ48	Q6NQ48_ARATH	unreviewed	At1g34320 (Ikzf5 (DUF668))	PSI1 PSK SIMULATOR 1 At1g34320 F23M19.3 F23M19_3
F4HUY1	F4HUY1_ARATH	unreviewed	Tmem18	At1g34350 F7P12.4 F7P12_4
Q67Y14	Q67Y14_ARATH	unreviewed	At1g34350 (Tmem18) (mRNA, clone: RAFL23-28-K18) (mRNA, clone: RAFL25-19-D04)	At1g34350 F7P12.4 F7P12_4
Q2V4J0	Q2V4J0_ARATH	unreviewed	AT1G34370 protein (C2H2 and C2HC zinc fingers superfamily protein)	STOP1 AtSTOP1 At1g34370 F7P12.7 F7P12_7
Q9C8N5	STOP1_ARATH	reviewed	Protein SENSITIVE TO PROTON RHIZOTOXICITY 1 (Zinc finger protein STOP1)	STOP1 At1g34370 F7P12.7
Q9C8N7	ARFV_ARATH	reviewed	Auxin response factor 22	ARF22 At1g34390 F7P12.6
Q9LNK3	Q9LNK3_ARATH	unreviewed	F12K21.25 (Leucine-rich repeat receptor-like protein kinase) (Leucine-rich repeat transmembrane protein kinase family protein)	LRR-RLK F7P12.13 At1g34420 F12K21.25 F12K21_25
Q9C8P0	ODP25_ARATH	reviewed	Dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex, chloroplastic (EC 2.3.1.12) (Dihydrolipoamide S-acetyltransferase component 5 of pyruvate dehydrogenase complex) (Protein EMBRYO DEFECTIVE 3003) (Pyruvate dehydrogenase complex component E2 5) (PDC-E2 5) (PDCE2 5)	EMB3003 At1g34430 F12K21.24 F7P12.2
Q9LNK7	NIPA3_ARATH	reviewed	Probable magnesium transporter NIPA3	At1g34470 F12K21.21 F7P12.17
F4HV08	F4HV08_ARATH	unreviewed	Essential protein Yae1, N-terminal	At1g34570 F12K21.27
Q9LNM6	Q9LNM6_ARATH	unreviewed	At1g34640 (F12K21.2) (Peptidase)	At1g34640 F12K21.2
Q9S9Z2	MYB93_ARATH	reviewed	Transcription factor MYB93 (Myb-related protein 93) (AtMYB93)	MYB93 At1g34670 F21H2.9
Q9S9Z7	P2C10_ARATH	reviewed	Probable protein phosphatase 2C 10 (AtPP2C10) (EC 3.1.3.16)	At1g34750 F21H2.4
Q9S9Z8	14311_ARATH	reviewed	14-3-3-like protein GF14 omicron (General regulatory factor 11)	GRF11 At1g34760 F21H2.3
Q8GUN4	Q8GUN4_ARATH	unreviewed	AT1G34770 protein (Melanoma-associated antigen G1-like protein) (Putative MAGE protein)	At1g34770 F11O6.12
Q9SA00	APRL4_ARATH	reviewed	5'-adenylylsulfate reductase-like 4 (Adenosine 5'-phosphosulfate reductase-like 4) (APR-like 4) (AtAPRL4)	APRL4 At1g34780 F11O6.7 F21H2.1
Q8VWG3	TT1_ARATH	reviewed	Protein TRANSPARENT TESTA 1 (TTL1) (WIP-domain protein 1) (Zinc finger protein TT1)	TT1 WIP1 At1g34790 F11O6.15
F4HWQ5	F4HWQ5_ARATH	unreviewed	GF14 protein phi chain	GF14 PHI 14-3-3PHI GENERAL REGULATORY FACTOR 4 GF14 protein phi chain GRF4 At1g35160 T32G9.30 T32G9_30
P46077	14334_ARATH	reviewed	14-3-3-like protein GF14 phi (General regulatory factor 4)	GRF4 At1g35160 T32G9.30
Q9C6F2	Q9C6F2_ARATH	unreviewed	Uncharacterized protein T32G9.25	At1g35210 T32G9.25 T32G9_25
Q8LCE4	AGP5_ARATH	reviewed	Classical arabinogalactan protein 5	AGP5 At1g35230 T9I1.2
Q9C7I9	ARFT_ARATH	reviewed	Auxin response factor 20	ARF20 At1g35240 T9I1.3
Q6R8G2	PHO18_ARATH	reviewed	Phosphate transporter PHO1 homolog 8 (Protein PHO1 homolog 8) (AtPHO1;H8)	PHO1-H8 At1g35350 T9I1.12
Q93XY9	Q93XY9_ARATH	unreviewed	Transmembrane protein	F12A4.3 At1g35430 F12A4.3 F12A4_3
Q9C8P8	BH080_ARATH	reviewed	Transcription factor bHLH80 (Basic helix-loop-helix protein 80) (AtbHLH80) (bHLH 80) (Transcription factor EN 71) (bHLH transcription factor bHLH080)	BHLH80 EN71 At1g35460 F12A4.2
F4HYD7	RANBM_ARATH	reviewed	Ran-binding protein M homolog (AtRanBPM)	RANBPM At1g35470 F12A4.1
Q9SDS8	MYB8_ARATH	reviewed	Transcription factor MYB8 (Myb-related protein 8) (AtMYB8)	MYB8 At1g35515 F15O4.43
Q9LQE3	ARFO_ARATH	reviewed	Putative auxin response factor 15	ARF15 At1g35520 F15O4.42
Q9LQE8	ARFN_ARATH	reviewed	Putative auxin response factor 14	ARF14 At1g35540 F15O4.37
Q9LQF0	TCP23_ARATH	reviewed	Transcription factor TCP23	TCP23 At1g35560 F15O4.35
F4HZY9	F4HZY9_ARATH	unreviewed	Cytosolic invertase 1	CINV1 A alkaline cytosolic invertase 1 N-InvG neutral invertase G At1g35580 F15O4.33
Q9LQF2	CINV1_ARATH	reviewed	Alkaline/neutral invertase CINV1 (EC 3.2.1.26) (Alkaline/neutral invertase G) (A/N-INVG) (Cytosolic invertase 1) (AtCYT-INV1)	CINV1 INVG At1g35580 F15O4.33
Q94F09	PDI52_ARATH	reviewed	Protein disulfide-isomerase 5-2 (AtPDIL5-2) (Protein disulfide-isomerase 7-1) (AtPDIL7-1) (Protein disulfide-isomerase 8) (PDI8)	PDIL5-2 PDI8 PDIL7-1 At1g35620 F15O4.20
Q39016	CDPKB_ARATH	reviewed	Calcium-dependent protein kinase 11 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK2) (AtCDPK2)	CPK11 CDPK2 At1g35670 F15O4.8
P51412	RK21_ARATH	reviewed	50S ribosomal protein L21, chloroplastic (CL21)	RPL21 At1g35680 F15O4.7
Q9LP24	Y1571_ARATH	reviewed	Probable leucine-rich repeat receptor-like protein kinase At1g35710 (EC 2.7.11.1)	At1g35710 F14D7.1
Q9SYT0	ANXD1_ARATH	reviewed	Annexin D1 (AnnAt1) (Annexin A1)	ANN1 ANNAT1 ANX23-ATH ATOXY5 OXY5 At1g35720 F14D7.2
Q9C8B9	Q9C8B9_ARATH	unreviewed	VQ motif-containing protein	At1g35830 F10O5.2 F10O5_2
F4I1K2	F4I1K2_ARATH	unreviewed	Endoplasmic reticulum vesicle transporter protein	At1g36050 F5J5.4 F5J5_4
Q9C8W1	Q9C8W1_ARATH	unreviewed	At1g36050 (Endoplasmic reticulum vesicle transporter protein)	T22A15.3 At1g36050 F5J5.4 F5J5_4
Q9SKW5	ERF55_ARATH	reviewed	Ethylene-responsive transcription factor ERF055	ERF055 At1g36060 F5J5.5 T22A15.2
Q38970	ACC1_ARATH	reviewed	Acetyl-CoA carboxylase 1 (AtACC1) (EC 6.4.1.2) (Protein EMBRYO DEFECTIVE 22) (Protein GURKE) (Protein PASTICCINO 3) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC1 EMB22 GK PAS3 At1g36160 F15C21.1
B3H4A7	B3H4A7_ARATH	unreviewed	Acetyl-CoA carboxylase 2	ACC2 acetyl-CoA carboxylase 2 At1g36180 F15C21.2 F15C21_2
F4I1L3	ACC2_ARATH	reviewed	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) [Includes: Biotin carboxylase (EC 6.3.4.14)]	ACC2 At1g36180 F15C21.2
Q9C8F7	RL301_ARATH	reviewed	Putative 60S ribosomal protein L30-1	RPL30A At1g36240 F15C21.6
Q949Z8	Q949Z8_ARATH	unreviewed	Transmembrane 50A-like protein	At1g36980 T32E20.29 T32E20_29
P11035	NIA2_ARATH	reviewed	Nitrate reductase [NADH] 2 (NR2) (EC 1.7.1.1)	NIA2 CHL3 At1g37130 F28L22.2
Q9FZH0	R35A2_ARATH	reviewed	60S ribosomal protein L35a-2	RPL35AB At1g41880 F5A13.4
Q9ASU6	Q9ASU6_ARATH	unreviewed	At1g42440/F7F22_7 (Pre-rRNA-processing TSR1-like protein)	At1g42440 F7F22.4 F7F22_4
Q9C8E7	GLR33_ARATH	reviewed	Glutamate receptor 3.3 (Ligand-gated ion channel 3.3)	GLR3.3 At1g42540 T8D8.1
Q94KB4	MLO9_ARATH	reviewed	MLO-like protein 9 (AtMlo9)	MLO9 At1g42560 F8D11.2 T8D8.5
P25857	G3PB_ARATH	reviewed	Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase B)	GAPB At1g42970 F13A11.3
Q9C7S0	BZP60_ARATH	reviewed	bZIP transcription factor 60 (AtbZIP60)	BZIP60 At1g42990 F13A11.5
Q9C7R9	Q9C7R9_ARATH	unreviewed	PLATZ transcription factor family protein	At1g43000 F13A11.6 F13A11_6
Q9C8C4	Q9C8C4_ARATH	unreviewed	Glycoside hydrolase family 28 protein (Pectin lyase-like superfamily protein) (Polygalacturonase, putative)	At1g43080 F2H10.12 F2H10_12
Q7G1L2	RAP26_ARATH	reviewed	Ethylene-responsive transcription factor RAP2-6 (Protein RELATED TO APETALA2 6)	RAP2-6 ERF108 At1g43160 F1I21.18
A8MQQ1	A8MQQ1_ARATH	unreviewed	Ribosomal protein 1	RP1 ARP1 emb2207 embryo defective 2207 ribosomal protein 1 RPL3A At1g43170 F1I21.1 F1I21_1
P17094	RL31_ARATH	reviewed	60S ribosomal protein L3-1 (Protein EMBRYO DEFECTIVE 2207)	ARP1 EMB2207 RPL3A At1g43170 F1I21.1
A8MR27	A8MR27_ARATH	unreviewed	Polypyrimidine tract-binding protein 3	PTB3 At1g43190 F1I21.14 F1I21_14
Q6ICX4	PTBP3_ARATH	reviewed	Polypyrimidine tract-binding protein homolog 3	At1g43190 F1I21.14
Q944S3	TLP5_ARATH	reviewed	Tubby-like F-box protein 5 (AtTLP5)	TULP5 At1g43640 T10P12.9
Q9MA79	F16P2_ARATH	reviewed	Fructose-1,6-bisphosphatase, cytosolic (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase) (Protein FRUCTOSE INSENSITIVE 1)	CYFBP FINS1 At1g43670 F2J6.2
Q9MA75	VIP1_ARATH	reviewed	Transcription factor VIP1 (Protein SULPHATE UTILIZATION EFFICIENCY 3) (VirE2-interacting protein 1) (AtVIP1) (bZIP transcription factor 51) (AtbZIP51) (bZIP protein 51)	VIP1 BZIP51 SUE3 At1g43700 F2J6.6
Q8LBX7	Q8LBX7_ARATH	unreviewed	At1g43790 (Tracheary element differentiation-related 6)	TED6 At1g43790 F28H19.19 F28H19_19
Q84VY3	STAD6_ARATH	reviewed	Stearoyl-[acyl-carrier-protein] 9-desaturase 6, chloroplastic (Stearoyl-ACP desaturase 6) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 6)	S-ACP-DES6 AAD6 SAD6 At1g43800 F28H19.7
Q8W234	SEUSS_ARATH	reviewed	Transcriptional corepressor SEUSS (AtSEU)	SEU At1g43850 F28H19.10
Q9MAR2	Q9MAR2_ARATH	unreviewed	At1g43860 (F28H19.11 protein) (Sequence-specific DNA binding transcription factor)	At1g43860 At1g43860/F28H19.11 F28H19.11 F28H19_11
O23657	RABC1_ARATH	reviewed	Ras-related protein RABC1 (AtRABC1) (Ras-related protein Rab18) (AtRab18)	RABC1 RAB18 RAB18-1 At1g43890 F28H19.15 F9C16.3
Q8VZN9	P2C11_ARATH	reviewed	Probable protein phosphatase 2C 11 (AtPP2C11) (EC 3.1.3.16)	At1g43900 F28H19.16 F9C16.6
Q94AQ9	SGRL_ARATH	reviewed	Protein STAY-GREEN LIKE, chloroplastic	SGRL At1g44000 F9C16.20
Q8GUM3	AAP5_ARATH	reviewed	Amino acid permease 5 (Amino acid transporter AAP5)	AAP5 At1g44100 T7O23.19
Q9C6Y3	CCA11_ARATH	reviewed	Cyclin-A1-1 (G2/mitotic-specific cyclin-A1-1) (CycA1;1)	CYCA1-1 At1g44110 T7O23.18
Q94LA6	Q94LA6_ARATH	unreviewed	At1g44414 (Zinc-ribbon domain protein)	At1g44414 T18F15.8 T18F15_8
Q9MBA1	CAO_ARATH	reviewed	Chlorophyllide a oxygenase, chloroplastic (Chlorophyll a oxygenase) (EC 1.14.13.122) (Chlorophyll b synthase) (AtCAO)	CAO CHL At1g44446 T18F15.7
F4IEG8	F4IEG8_ARATH	unreviewed	Chlorophyll A-B binding family protein	NPQ4 CP22 NONPHOTOCHEMICAL QUENCHING 4 PHOTOSYSTEM II SUBUNIT S PSBS PSII-S At1g44575 T18F15.3 T18F15_3
Q9XF91	PSBS_ARATH	reviewed	Photosystem II 22 kDa protein, chloroplastic (CP22) (Protein NONPHOTOCHEMICAL QUENCHING 4) (Protein PHOTOSYSTEM II SUBUNIT S)	PSBS NPQ4 At1g44575 T18F15.3
Q9LPF6	PUP11_ARATH	reviewed	Probable purine permease 11 (AtPUP11)	PUP11 At1g44750 T12C22.2
Q9LPF1	WTR8_ARATH	reviewed	WAT1-related protein At1g44800	At1g44800 T12C22.7
Q9LPF0	STKLB_ARATH	reviewed	Probable transcription factor At1g44810 (Storekeeper-like protein At1g44810)	At1g44810 T12C22.8
Q9LPE8	ERF14_ARATH	reviewed	Ethylene-responsive transcription factor ERF014	ERF014 At1g44830 T12C22.10
F4HPK7	F4HPK7_ARATH	unreviewed	DNA helicase (EC 3.6.4.12)	MCM2 ATMCM2 MINICHROMOSOME MAINTENANCE 2 At1g44900 T12C22.19 T12C22_19
Q9LPD9	MCM2_ARATH	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2) (AtMCM2)	MCM2 At1g44900 T12C22.19
B6EUA9	PR40A_ARATH	reviewed	Pre-mRNA-processing protein 40A (Mediator of RNA polymerase II transcription subunit 35a)	PRP40A MED35_1 MED35A At1g44910 F27F5.2 T12C22.20
Q9LPD7	Q9LPD7_ARATH	unreviewed	T12C22.21 protein (Transmembrane protein)	At1g44920 T12C22.21 T12C22_21
Q9LPD5	Q9LPD5_ARATH	unreviewed	SNARE associated Golgi protein family (T12C22.23 protein)	At1g44960 T12C22.23 T12C22_23
B3H533	B3H533_ARATH	unreviewed	AAA-type ATPase family protein	At1g45000 F27F5.8 F27F5_8
Q9MAK9	PS10B_ARATH	reviewed	26S proteasome regulatory subunit S10B homolog B (26S proteasome AAA-ATPase subunit RPT4b) (26S proteasome subunit S10B homolog B) (Regulatory particle triple-A ATPase subunit 4b)	RPT4B At1g45000 F27F5.8
Q8VZR3	Q8VZR3_ARATH	unreviewed	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein	At1g45010 At1g45010/F27F5_9 F27F5.9 F27F5_9
P42743	UBC15_ARATH	reviewed	Ubiquitin-conjugating enzyme 15 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 15) (PM42) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-18 kDa 15) (Ubiquitin-protein ligase)	UBC15 UBC2-1 At1g45050 F27F5.13
Q39241	TRXH5_ARATH	reviewed	Thioredoxin H5 (AtTrxh5) (Protein LOCUS OF INSENSITIVITY TO VICTORIN 1) (Thioredoxin 5) (AtTRX5)	TRX5 LIV1 At1g45145 F27F5.21
Q1H5C9	OP24A_ARATH	reviewed	Outer envelope pore protein 24A, chloroplastic (Chloroplastic outer envelope pore protein of 24 kDa A)	OEP24A At1g45170 F27F5.25
F4HRB4	F4HRB4_ARATH	unreviewed	Triacylglycerol lipase-like 1	TLL1 ATTLL1 triacylglycerol lipase-like 1 At1g45196 At1g45201
Q8L7S1	Q8L7S1_ARATH	unreviewed	At1g45200 (At1g45200/At1g45200) (Triacylglycerol lipase-like 1)	TLL1 ATTLL1 triacylglycerol lipase-like 1 At1g45196 At1g45201
F4HRD2	F4HRD2_ARATH	unreviewed	DCL protein (DUF3223)	At1g45230
Q9C642	DCL_ARATH	reviewed	Protein DCL homolog, chloroplastic (AtDCL)	DCL At1g45230 F2G19.1
F4HRC0	F4HRC0_ARATH	unreviewed	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	At1g45231
F4HRC1	THO5A_ARATH	reviewed	THO complex subunit 5A (THO complex subunit 5) (AtTHO5)	THO5A THO5 THOC5B At1g45233 T2P3
F4HRC9	F4HRC9_ARATH	unreviewed	Abscisic acid responsive elements-binding factor 2	ABF2 AREB1 AtABF2 ATAREB1 At1g45249
F4HRD0	F4HRD0_ARATH	unreviewed	Abscisic acid responsive elements-binding factor 2	ABF2 AREB1 AtABF2 ATAREB1 At1g45249
